YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,12,5,6,OO,6346,MRY,SFO,545,40,77,625,0,0,43.0,74.0,ESE,5.0,0.0,45.0,93.0,S,3.0,0.0
2015,1,4,7,AA,126,DFW,PHX,1145,160,868,1325,0,0,32.0,52.0,NNW,22.0,0.0,62.0,29.0,NNE,5.0,0.0
2015,12,2,3,DL,2559,SLC,LAX,1100,120,590,1200,0,0,37.0,36.0,NE,5.0,0.0,74.0,11.0,VAR,3.0,0.0
2015,3,5,4,DL,1782,MSO,MSP,545,158,1013,923,0,0,19.0,74.0,CALM,0.0,0.0,2.0,63.0,SW,5.0,0.0
2015,2,6,5,UA,216,EWR,IAH,503,242,1400,805,0,0,10.0,63.0,WSW,9.0,0.0,43.0,89.0,CALM,0.0,0.0
2015,12,1,2,NK,214,LAS,DFW,150,146,1055,616,0,0,35.0,40.0,SSW,7.0,0.0,39.0,82.0,N,6.0,0.0
2015,1,7,3,US,1837,BWI,CLT,515,89,361,644,0,0,19.0,81.0,W,6.0,0.0,29.0,78.0,CALM,0.0,0.0
2015,12,1,2,WN,2119,FNT,BWI,530,105,452,715,0,0,40.0,86.0,ESE,9.0,0.0,48.0,96.0,ENE,8.0,0.1
2015,1,5,1,AA,1674,LAS,MIA,35,268,2174,803,0,1,39.0,45.0,SSW,10.0,0.0,78.0,81.0,E,5.0,0.0
2015,3,10,2,AA,1642,DFW,EWR,800,182,1372,1202,0,0,49.0,97.0,NW,7.0,0.0,51.0,48.0,CALM,0.0,0.0
2015,1,5,1,AA,2459,PHX,DFW,200,120,868,500,0,0,47.0,61.0,ESE,3.0,0.0,23.0,72.0,NNE,6.0,0.0
2015,1,4,7,NK,728,TPA,ORD,1120,167,1012,1307,0,1,79.0,74.0,S,10.0,0.0,21.0,85.0,NNW,17.0,0.0
2015,12,6,7,OO,5462,SPI,ORD,530,61,174,631,0,1,34.0,89.0,S,3.0,0.0,28.0,96.0,S,6.0,0.0
2015,1,4,7,DL,833,SAN,DTW,1144,261,1956,1905,0,1,64.0,43.0,NW,7.0,0.0,25.0,80.0,WNW,17.0,0.0
2015,12,3,4,DL,822,ANC,SEA,45,208,1448,513,0,1,15.0,84.0,CALM,0.0,0.0,48.0,77.0,ESE,15.0,0.0
2015,12,3,4,AS,730,ANC,SEA,500,200,1448,920,0,1,22.0,92.0,CALM,0.0,0.0,86.0,70.0,VAR,2.0,0.0
2015,2,4,3,HA,103,HNL,LIH,523,37,102,600,0,0,72.0,84.0,W,8.0,0.0,71.0,75.0,SW,10.0,0.0
2015,3,10,2,EV,6163,DEN,MCI,755,99,533,1034,0,0,37.0,57.0,WSW,9.0,0.0,52.0,71.0,WNW,3.0,0.0
2015,12,6,7,WN,5933,ALB,BWI,540,85,289,705,0,0,27.0,89.0,CALM,0.0,0.0,28.0,92.0,CALM,0.0,0.0
2015,2,10,2,OO,4749,SLC,ONT,1505,107,558,1552,0,1,49.0,56.0,N,8.0,0.0,80.0,20.0,W,3.0,0.0
2015,12,2,3,EV,2794,DFW,ICT,1110,82,328,1232,0,0,55.0,42.0,NNW,14.0,0.0,50.0,41.0,NW,12.0,0.0
2015,1,6,2,WN,585,DTW,ATL,600,130,594,810,0,1,8.0,83.0,SSW,8.0,0.0,37.0,59.0,W,8.0,
2015,1,4,7,DL,1741,SLC,PDX,1120,123,630,1223,0,0,32.0,66.0,SSE,3.0,0.0,40.0,100.0,ESE,14.0,0.0
2015,3,4,3,DL,2007,SAV,ATL,530,67,214,637,0,0,,,,,,54.0,100.0,SSW,12.0,0.0
2015,2,9,1,AS,500,SEA,SNA,1230,156,978,1506,0,0,88.0,66.0,NW,8.0,0.0,70.0,51.0,WSW,7.0,0.0
2015,1,6,2,AA,330,PBI,ORD,600,197,1144,817,0,0,74.0,79.0,ENE,5.0,0.0,4.0,73.0,WNW,12.0,
2015,1,6,2,WN,234,SEA,PHX,600,165,1107,945,0,0,45.0,93.0,CALM,0.0,0.0,59.0,35.0,E,6.0,
2015,3,4,3,AA,1433,SAT,DFW,535,66,247,641,0,0,45.0,93.0,,0.0,0.0,50.0,96.0,N,9.0,0.0
2015,12,6,7,F9,1138,LAS,AUS,45,155,1090,520,0,0,45.0,31.0,SW,3.0,0.0,,,,,
2015,1,4,7,EV,6023,ATL,ORD,1136,131,606,1247,0,1,61.0,88.0,WSW,12.0,0.0,44.0,85.0,S,10.0,0.0
2015,1,3,6,DL,1556,SRQ,ATL,705,98,444,843,0,0,70.0,97.0,ESE,13.0,0.0,50.0,94.0,ESE,9.0,0.0
2015,12,1,2,UA,1200,SFO,IAH,45,214,1635,619,0,0,50.0,54.0,E,13.0,0.0,50.0,96.0,N,7.0,0.0
2015,12,1,2,UA,1407,PHL,IAH,530,225,1325,815,0,0,49.0,90.0,ENE,7.0,0.0,51.0,96.0,N,7.0,0.0
2015,12,1,2,AA,2033,PHX,IND,35,193,1488,548,0,0,45.0,46.0,CALM,0.0,0.0,46.0,96.0,S,7.0,0.0
2015,1,1,4,US,646,OAK,PHX,600,115,646,855,0,0,42.0,41.0,NE,7.0,0.0,37.0,82.0,CALM,0.0,0.0
2015,3,10,2,DL,928,DEN,LGA,800,220,1620,1340,0,0,43.0,47.0,SW,8.0,0.0,45.0,56.0,ENE,9.0,0.0
2015,12,6,7,F9,1219,PHL,MCO,530,165,861,815,0,0,33.0,85.0,CALM,0.0,0.0,69.0,84.0,N,10.0,0.0
2015,1,7,3,NK,168,PHX,ORD,125,204,1440,549,0,0,52.0,54.0,S,5.0,0.0,1.0,57.0,NW,25.0,0.0
2015,12,5,6,AA,480,PDX,PHX,515,152,1009,847,0,0,46.0,73.0,ESE,10.0,0.0,51.0,38.0,ESE,3.0,0.0
2015,12,6,7,NK,451,PBG,FLL,155,203,1334,518,0,0,26.0,96.0,CALM,0.0,0.0,77.0,82.0,ENE,16.0,0.0
2015,12,1,2,AA,1645,SFO,MIA,30,320,2585,850,0,0,50.0,54.0,E,13.0,0.0,75.0,90.0,N,3.0,0.0
2015,1,4,7,MQ,3542,CHS,MIA,1145,99,489,1324,0,0,72.0,81.0,SW,16.0,0.0,83.0,65.0,SSE,9.0,0.0
2015,1,2,5,NK,612,LAS,MSP,25,181,1299,526,0,1,32.0,45.0,S,8.0,0.0,8.0,67.0,SW,3.0,0.0
2015,3,6,5,AA,1674,LAS,MIA,50,264,2174,814,0,0,48.0,52.0,SSW,10.0,0.0,78.0,74.0,E,7.0,0.0
2015,12,1,2,WN,3087,PHX,ATL,530,205,1587,1055,0,0,41.0,51.0,E,3.0,0.0,62.0,84.0,SE,6.0,0.0
2015,12,1,2,AA,1102,AUS,DFW,505,63,190,608,0,0,47.0,83.0,NNE,12.0,0.0,39.0,82.0,N,6.0,0.0
2015,2,9,1,UA,1566,IAD,MCO,1230,140,758,1450,0,0,38.0,86.0,NE,8.0,0.0,66.0,87.0,NNW,3.0,0.1
2015,1,5,1,AA,1057,DFW,MIA,515,161,1121,856,0,0,23.0,72.0,NNE,6.0,0.0,78.0,81.0,E,5.0,0.0
2015,1,7,3,AA,1028,DEN,ORD,555,149,888,924,0,0,14.0,92.0,E,8.0,0.0,0.0,57.0,NNW,23.0,0.0
2015,2,9,1,EV,5020,CHS,LGA,1240,106,641,1426,1,1,68.0,50.0,WSW,12.0,0.0,26.0,77.0,NE,18.0,0.0
2015,2,10,2,UA,434,SFO,RDU,1500,296,2400,2256,0,0,63.0,58.0,CALM,0.0,0.0,37.0,70.0,NNE,8.0,0.0
2015,2,4,3,US,1737,IAH,PHX,550,176,1009,746,0,0,43.0,93.0,NNE,3.0,0.0,53.0,80.0,E,8.0,0.0
2015,1,4,7,B6,1252,RSW,HPN,1125,165,1102,1410,0,0,82.0,60.0,S,12.0,0.0,48.0,100.0,CALM,0.0,0.0
2015,2,9,1,MQ,3412,ORD,TYS,1240,91,475,1511,0,1,25.0,81.0,N,13.0,0.0,57.0,81.0,N,10.0,0.0
2015,3,5,4,EV,4109,BNA,IAH,545,144,657,809,1,1,21.0,93.0,N,14.0,0.0,39.0,87.0,N,20.0,0.0
2015,12,2,3,EV,4411,LGA,CLE,1106,110,419,1256,0,1,50.0,94.0,NNE,5.0,0.0,48.0,71.0,CALM,0.0,0.0
2015,12,14,1,B6,493,BOS,DEN,808,290,1754,1058,0,0,47.0,86.0,ESE,3.0,0.0,33.0,61.0,WNW,7.0,0.0
2015,1,4,7,UA,376,IAH,EWR,1125,211,1400,1556,0,1,50.0,63.0,NNW,16.0,0.0,54.0,94.0,SW,14.0,0.0
2015,1,5,1,WN,2181,IAD,DEN,540,245,1452,745,0,0,37.0,59.0,WNW,13.0,0.0,12.0,80.0,VAR,7.0,0.0
2015,3,4,3,OO,6204,BFL,DEN,550,149,845,919,0,0,45.0,82.0,CALM,0.0,0.0,12.0,80.0,E,7.0,0.0
2015,2,10,2,OO,4514,SLC,TUS,1505,109,601,1654,0,0,49.0,56.0,N,8.0,0.0,76.0,17.0,NNW,16.0,0.0
2015,3,10,2,WN,1090,BNA,ECP,750,75,401,905,0,0,56.0,93.0,SSE,7.0,0.0,74.0,71.0,SSE,13.0,0.0
2015,12,3,4,AA,1531,PDX,ORD,500,240,1739,1100,0,0,40.0,97.0,ESE,15.0,0.0,43.0,88.0,S,10.0,0.0
2015,3,6,5,DL,2510,RSW,ATL,540,106,515,726,0,0,68.0,96.0,CALM,0.0,0.0,28.0,80.0,N,8.0,0.0
2015,2,12,4,NK,451,PBG,FLL,155,203,1334,518,0,1,13.0,77.0,CALM,0.0,0.0,55.0,86.0,NW,6.0,0.0
2015,1,2,5,OO,7370,BJI,MSP,520,60,199,620,0,1,1.0,75.0,SE,6.0,0.0,7.0,70.0,SSE,6.0,0.0
2015,1,3,6,WN,1063,ONT,OAK,700,80,362,820,0,0,39.0,76.0,CALM,0.0,0.0,41.0,73.0,CALM,0.0,0.0
2015,1,4,7,WN,714,MDW,PHL,1130,110,668,1420,0,1,27.0,81.0,NW,18.0,0.0,53.0,89.0,SSW,8.0,0.0
2015,12,1,2,OO,5210,PHX,LAX,515,93,370,548,0,1,41.0,51.0,E,3.0,0.0,50.0,32.0,ENE,6.0,0.0
2015,3,6,5,UA,1679,SEA,SFO,525,130,679,735,0,0,41.0,79.0,CALM,0.0,0.0,54.0,90.0,E,3.0,0.0
2015,1,5,1,AA,1342,ORD,MIA,500,179,1197,859,0,0,-3.0,68.0,W,14.0,0.0,78.0,81.0,E,5.0,0.0
2015,2,8,7,AA,281,MIA,DFW,600,200,1121,820,0,0,67.0,70.0,E,6.0,0.0,57.0,87.0,S,12.0,0.0
2015,12,5,6,EV,3265,CLL,IAH,545,44,74,629,0,0,39.0,89.0,ENE,5.0,0.0,55.0,82.0,NE,2.0,0.0
2015,2,6,5,US,1724,RDU,PHL,519,76,337,635,0,0,19.0,54.0,CALM,0.0,0.0,15.0,49.0,W,9.0,0.0
2015,2,12,4,US,1724,RDU,PHL,519,76,337,635,0,0,34.0,82.0,CALM,0.0,0.0,31.0,82.0,SSW,6.0,0.0
2015,2,12,4,US,448,SLC,CLT,30,225,1727,615,0,0,39.0,67.0,SE,6.0,0.0,34.0,85.0,NNW,3.0,0.0
2015,12,2,3,DL,2565,LAS,SLC,1102,78,368,1320,0,0,55.0,17.0,CALM,0.0,0.0,36.0,52.0,NNW,12.0,0.0
2015,1,4,7,MQ,2961,EYW,MIA,1124,42,125,1206,0,1,82.0,76.0,ESE,8.0,0.0,81.0,72.0,SE,15.0,0.0
2015,1,2,5,EV,4196,BNA,IAH,545,147,657,812,0,0,37.0,87.0,SSE,3.0,0.0,48.0,96.0,NE,9.0,0.0
2015,2,6,5,AA,304,SLC,DFW,558,162,989,940,0,0,50.0,36.0,SE,9.0,0.0,42.0,62.0,S,10.0,0.0
2015,1,7,3,US,1909,BOS,PHL,530,89,280,659,0,0,18.0,65.0,W,12.0,0.0,22.0,66.0,W,14.0,0.0
2015,1,3,6,UA,1496,SAT,IAH,710,56,191,806,0,0,41.0,93.0,VAR,7.0,0.0,48.0,93.0,WSW,3.0,0.1
2015,3,9,1,OO,6293,ACV,SFO,600,74,250,714,1,1,47.0,97.0,E,3.0,0.0,51.0,100.0,CALM,0.0,0.0
2015,1,4,7,WN,288,CHS,BWI,1140,90,472,1310,0,1,72.0,81.0,SW,16.0,0.0,57.0,83.0,SW,10.0,0.0
2015,12,1,2,EV,6143,CWA,ORD,530,75,213,645,0,0,72.0,69.0,NNE,7.0,0.0,41.0,87.0,WSW,10.0,0.0
2015,12,3,4,AA,2404,LAX,DFW,500,181,1235,1001,0,1,63.0,24.0,NE,7.0,0.0,55.0,51.0,CALM,0.0,0.0
2015,3,5,4,UA,1119,GEG,DEN,545,136,836,901,0,0,27.0,69.0,CALM,0.0,0.0,30.0,41.0,WSW,7.0,0.0
2015,12,2,3,WN,2534,LAX,RNO,1110,80,391,1230,0,0,92.0,6.0,CALM,0.0,0.0,47.0,42.0,NNW,5.0,0.0
2015,12,4,5,WN,2538,SMF,LAX,530,80,373,650,0,0,42.0,92.0,CALM,0.0,0.0,54.0,66.0,NE,5.0,0.0
2015,12,1,2,DL,2485,BNA,ATL,530,70,214,740,0,0,57.0,88.0,NW,9.0,0.1,60.0,83.0,ESE,5.0,0.0
2015,12,4,5,DL,1906,LAX,MSP,45,215,1535,620,0,1,58.0,72.0,VAR,6.0,0.0,22.0,85.0,ESE,6.0,0.0
2015,12,2,3,B6,228,MCO,EWR,1104,158,937,1342,0,1,80.0,74.0,S,14.0,0.0,52.0,93.0,CALM,0.0,0.0
2015,2,9,1,DL,2482,OKC,ATL,1230,119,761,1529,0,0,66.0,37.0,N,8.0,0.0,63.0,67.0,NW,16.0,0.0
2015,1,6,2,DL,1456,RDU,ATL,600,93,356,733,0,0,28.0,72.0,CALM,0.0,0.0,31.0,67.0,W,6.0,0.0
2015,1,4,7,OO,2577,LAX,EUG,1135,135,748,1350,0,1,60.0,57.0,W,6.0,0.0,50.0,77.0,S,10.0,0.0
2015,1,6,2,B6,721,BOS,PBI,600,205,1197,925,0,0,15.0,51.0,WNW,14.0,0.0,78.0,74.0,E,8.0,0.0
2015,1,3,6,B6,1121,PDX,LGB,700,136,846,916,0,0,35.0,96.0,WSW,6.0,0.0,53.0,66.0,VAR,3.0,0.0
2015,1,7,3,HA,218,HNL,KOA,548,42,163,630,0,0,66.0,65.0,NNE,6.0,0.0,51.0,95.0,,0.0,0.0
2015,12,3,4,AA,2399,LAX,DFW,55,171,1235,546,0,0,64.0,24.0,NNE,5.0,0.0,37.0,82.0,S,7.0,0.0
2015,1,6,2,AA,1180,SFO,DFW,600,204,1464,1124,0,1,45.0,90.0,SSW,3.0,0.0,51.0,48.0,NNE,12.0,0.0
2015,12,14,1,AA,2314,DCA,DFW,810,231,1192,1101,0,0,58.0,97.0,S,10.0,0.0,62.0,37.0,SW,6.0,0.0
2015,1,4,7,EV,5549,ATL,SHV,1134,114,551,1228,0,1,61.0,88.0,WSW,12.0,0.0,42.0,58.0,NW,14.0,0.0
2015,12,2,3,WN,2250,BWI,PIT,1105,55,210,1200,0,1,51.0,100.0,ENE,5.0,0.0,46.0,93.0,WSW,3.0,0.0
2015,12,6,7,NK,597,MSP,FLL,115,206,1487,541,0,0,40.0,89.0,CALM,0.0,0.0,77.0,82.0,ENE,16.0,0.0
2015,1,3,6,AA,1011,ELP,DFW,715,105,551,1000,0,0,32.0,100.0,WSW,23.0,0.0,40.0,86.0,WNW,12.0,0.0
2015,12,3,4,OO,7368,ESC,DTW,525,90,306,655,0,0,34.0,87.0,NW,3.0,0.0,36.0,86.0,W,9.0,0.0
2015,2,10,2,DL,1875,TPA,LGA,1500,159,1010,1739,0,0,60.0,67.0,NW,15.0,0.0,36.0,57.0,N,17.0,0.0
2015,1,3,6,AA,1258,LAS,DFW,700,165,1055,1145,0,1,36.0,41.0,SSW,8.0,0.0,41.0,82.0,SSW,5.0,0.0
2015,12,1,2,DL,1091,JAX,ATL,530,67,270,637,0,0,61.0,100.0,CALM,0.0,0.0,60.0,86.0,CALM,0.0,0.0
2015,1,7,3,F9,117,MSP,DEN,545,129,680,654,0,0,-8.0,59.0,NW,14.0,0.0,14.0,92.0,ESE,8.0,0.0
2015,2,10,2,OO,2635,MKE,ORD,1456,54,67,1550,0,0,27.0,69.0,ESE,9.0,0.0,31.0,59.0,SE,8.0,0.0
2015,1,2,5,NK,451,PBG,FLL,155,208,1334,523,0,0,28.0,81.0,CALM,0.0,0.0,74.0,93.0,SE,10.0,0.0
2015,1,1,4,WN,4822,LAS,BWI,600,270,2106,1330,0,0,30.0,51.0,S,9.0,0.0,42.0,32.0,SW,12.0,0.0
2015,2,6,5,UA,1596,SMF,DEN,540,140,909,900,0,0,54.0,77.0,SSW,14.0,0.0,61.0,17.0,SW,13.0,0.0
2015,12,1,2,OO,7368,ESC,DTW,525,90,306,655,0,0,39.0,87.0,ESE,16.0,0.0,43.0,93.0,E,5.0,0.0
2015,3,5,4,EV,6082,ATW,ORD,545,65,160,650,0,1,-6.0,60.0,WNW,9.0,0.0,4.0,58.0,NW,10.0,0.0
2015,2,6,5,NK,103,BOS,MYR,505,140,738,725,0,0,5.0,55.0,WNW,10.0,0.0,27.0,59.0,NNE,5.0,0.0
2015,12,1,2,AA,375,DEN,DFW,500,124,641,804,0,0,19.0,52.0,SW,12.0,0.0,43.0,82.0,NE,6.0,0.0
2015,12,5,6,UA,1803,SJU,EWR,153,260,1608,513,0,0,79.0,82.0,CALM,0.0,0.0,39.0,73.0,CALM,0.0,0.0
2015,2,10,2,DL,1374,SLC,OAK,1505,115,588,1600,0,0,49.0,56.0,N,8.0,0.0,60.0,49.0,NW,9.0,0.0
2015,1,5,1,UA,1540,DCA,IAH,545,209,1208,814,0,0,44.0,43.0,WNW,13.0,0.0,33.0,72.0,NNE,10.0,0.0
2015,1,7,3,US,1749,BOS,CLT,500,145,728,725,0,0,18.0,65.0,W,12.0,0.0,32.0,75.0,CALM,0.0,0.0
2015,1,3,6,UA,1479,EWR,STT,715,250,1634,1225,0,0,33.0,66.0,ENE,8.0,0.0,86.0,59.0,E,22.0,0.0
2015,3,9,1,US,650,BOS,CLT,600,156,728,836,0,0,,,,,,54.0,40.0,W,5.0,0.0
2015,12,5,6,AA,2272,SAT,DFW,540,63,247,643,0,0,41.0,82.0,CALM,0.0,0.0,37.0,82.0,SE,5.0,0.0
2015,12,4,5,DL,1091,JAX,ATL,530,67,270,637,0,1,38.0,68.0,WNW,8.0,0.0,39.0,67.0,ENE,10.0,0.0
2015,1,7,3,UA,1045,GEG,DEN,545,141,836,906,0,0,32.0,100.0,NNE,7.0,0.0,14.0,92.0,SE,5.0,0.0
2015,2,12,4,AA,2454,BOS,MIA,515,210,1258,845,0,0,17.0,68.0,N,5.0,0.0,66.0,54.0,VAR,5.0,0.0
2015,12,2,3,WN,771,DAL,LAX,1110,205,1246,1235,0,1,53.0,48.0,NNW,12.0,0.0,74.0,11.0,VAR,3.0,0.0
2015,3,6,5,US,568,PDX,PHX,520,150,1009,850,0,0,37.0,89.0,CALM,0.0,0.0,62.0,21.0,NE,12.0,0.0
2015,1,3,6,US,2077,MCI,CLT,700,135,808,1015,0,0,32.0,92.0,NNE,5.0,0.0,50.0,86.0,NE,5.0,0.0
2015,1,6,2,WN,689,MKE,DEN,600,170,896,750,0,0,2.0,72.0,W,10.0,0.0,31.0,89.0,WSW,12.0,0.0
2015,1,4,7,AA,1554,DFW,SNA,1135,195,1205,1250,0,1,32.0,52.0,NNW,22.0,0.0,69.0,27.0,CALM,0.0,0.0
2015,12,1,2,WN,3101,PWM,BWI,530,110,452,720,0,0,21.0,88.0,W,3.0,0.0,48.0,96.0,ENE,8.0,0.1
2015,12,2,3,B6,1479,DCA,FLL,1100,154,899,1334,0,0,54.0,100.0,CALM,0.0,0.0,78.0,93.0,S,9.0,0.1
2015,12,4,5,MQ,3490,FAR,ORD,530,131,557,741,0,0,20.0,81.0,SSE,10.0,0.0,32.0,96.0,SW,6.0,0.0
2015,1,3,6,DL,1305,PBI,ATL,700,109,545,849,0,0,78.0,79.0,SE,16.0,0.0,50.0,94.0,ESE,9.0,0.0
2015,3,4,3,US,403,IND,PHX,545,243,1488,748,0,0,33.0,75.0,NW,9.0,0.0,50.0,71.0,WSW,5.0,0.0
2015,1,6,2,DL,1244,SRQ,ATL,600,99,444,739,0,0,57.0,83.0,NE,8.0,0.0,31.0,67.0,W,6.0,0.0
2015,12,14,1,EV,2852,SPI,DFW,812,136,630,1028,0,0,50.0,82.0,SSW,14.0,0.0,60.0,39.0,W,9.0,0.0
2015,1,4,7,AA,2488,DFW,EWR,1130,185,1372,1535,0,1,32.0,52.0,NNW,22.0,0.0,54.0,94.0,SW,14.0,0.0
2015,2,4,3,US,1904,DCA,CLT,535,87,331,702,0,0,31.0,59.0,SSW,6.0,0.0,29.0,72.0,S,5.0,0.0
2015,1,2,5,WN,944,SMF,DEN,545,155,909,920,0,0,28.0,93.0,CALM,0.0,0.0,21.0,74.0,SW,15.0,0.0
2015,1,1,4,EV,3268,ATL,IAD,540,105,534,725,0,0,33.0,75.0,NW,3.0,0.0,21.0,71.0,CALM,0.0,0.0
2015,1,2,5,NK,409,ORD,FLL,530,188,1182,938,0,0,19.0,85.0,CALM,0.0,0.0,78.0,81.0,SE,17.0,0.0
2015,2,9,1,DL,1681,PHX,SLC,1230,100,507,1410,0,0,75.0,31.0,CALM,0.0,0.0,50.0,83.0,SSE,9.0,0.0
2015,12,1,2,WN,2119,FNT,BWI,530,105,452,715,0,0,40.0,86.0,ESE,9.0,0.0,48.0,96.0,ENE,8.0,0.1
2015,12,5,6,DL,2489,PHL,DTW,545,104,453,729,0,0,36.0,73.0,NNW,6.0,0.0,28.0,100.0,SSE,6.0,0.0
2015,1,3,6,WN,1753,TUL,MDW,700,110,583,850,0,0,36.0,100.0,WNW,7.0,0.0,34.0,96.0,E,6.0,0.0
2015,12,1,2,WN,2628,STL,PHX,530,215,1262,805,0,0,37.0,76.0,WSW,6.0,0.0,45.0,44.0,ESE,3.0,0.0
2015,1,4,7,B6,164,SRQ,JFK,1135,156,1041,1411,0,1,80.0,71.0,S,18.0,0.0,54.0,86.0,WSW,14.0,0.0
2015,12,1,2,UA,1730,HNL,SFO,29,325,2398,754,0,0,77.0,66.0,ENE,12.0,0.0,45.0,63.0,SE,6.0,0.0
2015,12,6,7,DL,2127,FLL,ATL,545,108,581,733,0,0,77.0,82.0,ENE,16.0,0.0,44.0,60.0,ENE,10.0,0.0
2015,1,4,7,MQ,3045,ORD,TUL,1145,118,585,1343,0,1,24.0,84.0,NW,17.0,0.0,30.0,41.0,NNW,16.0,0.0
2015,1,3,6,AA,1507,SEA,DFW,700,230,1660,1250,0,0,36.0,89.0,SSE,3.0,0.0,45.0,74.0,VAR,5.0,0.0
2015,2,12,4,HA,17,LAS,HNL,145,375,2762,600,0,0,54.0,30.0,SW,6.0,0.0,66.0,75.0,WNW,6.0,0.0
2015,1,3,6,OO,2585,EUG,LAX,705,140,748,925,0,0,30.0,92.0,WSW,7.0,0.0,52.0,61.0,E,5.0,0.0
2015,12,1,2,WN,2425,SFO,PHX,530,105,651,815,0,0,44.0,71.0,SSE,3.0,0.0,45.0,44.0,ESE,3.0,0.0
2015,2,9,1,MQ,3637,DFW,GRR,1235,145,931,1600,0,0,72.0,33.0,NNE,14.0,0.0,26.0,55.0,NNE,8.0,0.0
