YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,12,1,2,AA,1230,N3KSAA,SEA,DFW,5,9,4,10,19,230,209,194,1660,533,5,555,538,0,0,0,,,,,,,39.0,81.0,S,3.0,0.0,39.0,89.0,N,6.0,0.0
2015,12,1,2,DL,1426,N820DN,SFO,MSP,5,4,-1,14,18,215,212,196,1589,534,2,540,536,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,33.0,96.0,ESE,9.0,0.0
2015,12,1,2,AA,2406,N850AA,LAX,DFW,10,7,-3,17,24,171,166,141,1235,445,8,501,453,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,39.0,89.0,N,6.0,0.0
2015,12,1,2,UA,680,N38473,SFO,ORD,14,10,-4,11,21,258,232,216,1846,557,5,632,602,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,41.0,87.0,WSW,10.0,0.0
2015,12,1,2,AA,883,N199UW,SFO,CLT,15,13,-2,15,28,290,297,264,2296,752,18,805,810,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,46.0,93.0,CALM,0.0,0.0
2015,12,1,2,AA,2020,N977UY,PHX,CLT,15,11,-4,10,21,226,198,182,1773,523,6,601,529,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,45.0,93.0,NE,3.0,0.0
2015,12,1,2,F9,1456,N227FR,LAS,ATL,20,19,-1,14,33,225,198,174,1747,627,10,705,637,0,0,0,,,,,,,52.0,100.0,WSW,16.0,0.0,60.0,83.0,ESE,5.0,0.0
2015,12,1,2,NK,298,N625NK,LAS,IAH,25,19,-6,16,35,160,159,135,1222,450,8,505,458,0,0,0,,,,,,,37.0,39.0,SSW,5.0,0.0,51.0,92.0,N,9.0,0.0
2015,12,1,2,AA,448,N556UW,SLC,CLT,25,31,6,13,44,223,205,188,1727,552,4,608,556,0,0,0,,,,,,,23.0,63.0,SSE,8.0,0.0,45.0,93.0,NE,3.0,0.0
2015,12,1,2,DL,1969,N556NW,PHX,ATL,25,26,1,11,37,207,174,155,1587,512,8,552,520,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,60.0,83.0,E,3.0,0.0
2015,12,1,2,UA,1730,N27421,HNL,SFO,29,32,3,18,50,325,301,276,2398,726,7,754,733,0,0,0,,,,,,,77.0,66.0,ENE,12.0,0.0,45.0,63.0,SE,6.0,0.0
2015,12,1,2,AA,260,N3FDAA,LAX,MIA,30,28,-2,18,46,293,269,246,2342,752,5,823,757,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,45.0,63.0,SE,6.0,0.0
2015,12,1,2,AA,1645,N3CCAA,SFO,MIA,30,40,10,16,56,320,301,274,2585,830,11,850,841,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,75.0,90.0,N,3.0,0.0
2015,12,1,2,UA,910,N17245,LAX,ORD,31,25,-6,14,39,248,232,204,1744,603,14,639,617,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,41.0,87.0,WSW,10.0,0.0
2015,12,1,2,AA,401,N585UW,PHX,TPA,34,31,-3,13,44,221,207,189,1788,553,5,615,558,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,69.0,90.0,CALM,0.0,0.0
2015,12,1,2,AA,1779,N153UW,PHX,BWI,35,39,4,11,50,245,238,220,1999,630,7,640,637,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,48.0,96.0,NW,3.0,0.0
2015,12,1,2,AA,2033,N757UW,PHX,IND,35,22,-13,9,31,193,177,158,1488,509,10,548,519,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,46.0,96.0,S,7.0,0.0
2015,12,1,2,AA,490,N935UW,PHX,PHL,35,32,-3,13,45,253,239,213,2075,618,13,648,631,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,50.0,89.0,ENE,7.0,0.0
2015,12,1,2,AA,1721,N802AW,PHX,DTW,40,37,-3,18,55,219,209,183,1671,558,8,619,606,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,43.0,93.0,E,5.0,0.0
2015,12,1,2,F9,1270,N210FR,LAX,ORD,45,39,-6,12,51,245,224,203,1744,614,9,650,623,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,41.0,87.0,WSW,10.0,0.0
2015,12,1,2,F9,1138,N919FR,LAS,AUS,45,35,-10,13,48,150,142,118,1090,446,11,515,457,0,0,0,,,,,,,37.0,39.0,SSW,5.0,0.0,75.0,15.0,SW,10.0,0.0
2015,12,1,2,UA,1200,N456UA,SFO,IAH,45,101,16,13,114,214,192,175,1635,609,4,619,613,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,50.0,96.0,N,7.0,0.0
2015,12,1,2,AS,108,N419AS,ANC,SEA,45,54,9,11,105,201,204,185,1448,510,8,506,518,0,0,0,,,,,,,26.0,69.0,NNE,6.0,0.0,41.0,79.0,SE,6.0,0.0
2015,12,1,2,DL,1450,N680DA,LAS,MSP,45,44,-1,14,58,184,172,151,1299,529,7,549,536,0,0,0,,,,,,,37.0,39.0,SSW,5.0,0.0,33.0,96.0,ESE,9.0,0.0
2015,12,1,2,DL,1906,N589NW,LAX,MSP,45,52,7,16,108,215,207,188,1535,616,3,620,619,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,33.0,96.0,SE,7.0,0.0
2015,12,1,2,DL,822,N395DN,ANC,SEA,45,47,2,20,107,208,214,188,1448,515,6,513,521,0,0,0,,,,,,,26.0,69.0,NNE,6.0,0.0,41.0,79.0,SE,6.0,0.0
2015,12,1,2,AA,1982,N561UW,LAX,CLT,50,49,-1,27,116,280,264,227,2125,803,10,830,813,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,46.0,93.0,CALM,0.0,0.0
2015,12,1,2,B6,1716,N946JB,SFO,JFK,50,42,-8,12,54,318,309,288,2586,842,9,908,851,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,53.0,83.0,E,14.0,0.0
2015,12,1,2,UA,514,N38446,PHX,ORD,54,53,-1,10,103,206,172,157,1440,440,5,520,445,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,43.0,93.0,WSW,10.0,0.0
2015,12,1,2,NK,612,N605NK,LAS,MSP,55,105,10,11,116,177,175,159,1299,555,5,552,600,0,0,0,,,,,,,37.0,39.0,SSW,5.0,0.0,33.0,96.0,ESE,9.0,0.0
2015,12,1,2,AA,1113,N3EDAA,LAX,ORD,55,55,0,16,111,250,222,198,1744,629,8,705,637,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,41.0,79.0,WSW,9.0,0.0
2015,12,1,2,AA,2399,N879AA,LAX,DFW,55,56,1,14,110,171,154,136,1235,526,4,546,530,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,39.0,89.0,N,6.0,0.0
2015,12,1,2,AA,2084,N831AW,PHX,STL,55,100,5,10,110,166,146,133,1262,423,3,441,426,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,41.0,70.0,W,13.0,0.0
2015,12,1,2,AA,538,N914UY,PHX,ATL,55,116,21,9,125,205,174,159,1587,604,6,620,610,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,60.0,86.0,CALM,0.0,0.0
2015,12,1,2,AS,134,N303AS,ANC,PDX,55,105,10,12,117,214,220,202,1542,539,6,529,545,1,0,0,,6.0,0.0,0.0,10.0,0.0,26.0,69.0,NNE,6.0,0.0,36.0,76.0,ESE,10.0,0.0
2015,12,1,2,DL,2324,N688DL,SLC,ATL,55,51,-4,12,103,211,187,169,1590,552,6,626,558,0,0,0,,,,,,,23.0,63.0,SSE,8.0,0.0,60.0,86.0,CALM,0.0,0.0
2015,12,1,2,UA,1614,N61887,LAX,IAH,58,50,-8,16,106,188,181,159,1379,545,6,606,551,0,0,0,,,,,,,54.0,45.0,NE,6.0,0.0,50.0,96.0,N,7.0,0.0
2015,12,1,2,AA,185,N883AA,LAS,DFW,59,55,-4,16,111,164,138,118,1055,509,4,543,513,0,0,0,,,,,,,37.0,39.0,SSW,5.0,0.0,39.0,89.0,N,6.0,0.0
2015,12,1,2,AA,1051,N877AA,SFO,DFW,59,59,0,17,116,196,197,170,1464,606,10,615,616,0,0,0,,,,,,,50.0,54.0,E,13.0,0.0,39.0,82.0,N,6.0,0.0
2015,12,1,2,AA,2083,N750UW,PHX,IAH,59,103,4,8,111,146,130,109,1009,400,13,425,413,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,51.0,92.0,N,8.0,0.0
2015,12,1,2,AA,499,N679AW,PHX,BOS,59,113,14,9,122,277,253,234,2300,716,10,736,726,0,0,0,,,,,,,45.0,46.0,CALM,0.0,0.0,35.0,98.0,SW,5.0,0.0
2015,12,1,2,NK,520,N533NK,LAS,MCI,101,58,-3,11,109,152,145,126,1139,515,8,533,523,0,0,0,,,,,,,35.0,40.0,SSW,7.0,0.0,30.0,88.0,SW,12.0,0.0
2015,12,1,2,AA,481,N165US,PHX,MSP,105,135,30,15,150,177,174,152,1276,522,7,502,529,1,0,0,,27.0,0.0,0.0,0.0,0.0,44.0,53.0,E,6.0,0.0,33.0,96.0,ESE,9.0,0.0
2015,12,1,2,NK,597,N632NK,MSP,FLL,115,111,-4,35,146,206,234,187,1487,553,12,541,605,1,0,0,,24.0,0.0,0.0,0.0,0.0,33.0,96.0,E,10.0,0.0,74.0,87.0,ESE,9.0,0.0
2015,12,1,2,AS,128,N533AS,FAI,SEA,115,107,-8,9,116,215,207,194,1533,530,4,550,534,0,0,0,,,,,,,-11.0,78.0,CALM,0.0,0.0,41.0,79.0,SE,6.0,0.0
2015,12,1,2,NK,168,N624NK,PHX,ORD,131,207,36,14,221,199,180,159,1440,600,7,550,607,1,0,0,,0.0,0.0,0.0,17.0,0.0,44.0,53.0,E,6.0,0.0,43.0,93.0,WSW,10.0,0.0
2015,12,1,2,AS,136,N467AS,ANC,SEA,145,152,7,12,204,199,207,188,1448,612,7,604,619,1,0,0,,8.0,0.0,7.0,0.0,0.0,25.0,72.0,NE,7.0,0.0,41.0,76.0,ESE,6.0,0.0
2015,12,1,2,HA,17,N386HA,LAS,HNL,150,154,4,15,209,390,384,361,2762,610,8,620,618,0,0,0,,,,,,,35.0,40.0,SSW,7.0,0.0,75.0,64.0,ENE,8.0,0.0
2015,12,1,2,NK,214,N627NK,LAS,DFW,150,148,-2,10,158,146,144,117,1055,555,17,616,612,0,0,0,,,,,,,35.0,40.0,SSW,7.0,0.0,39.0,82.0,N,6.0,0.0
2015,12,1,2,AA,1738,N979UY,PHX,DFW,150,205,15,11,216,134,112,95,868,451,6,504,457,0,0,0,,,,,,,44.0,53.0,E,6.0,0.0,39.0,89.0,N,6.0,0.0
2015,12,1,2,NK,451,N614NK,PBG,FLL,155,154,-1,13,207,203,189,171,1334,458,5,518,503,0,0,0,,,,,,,18.0,88.0,CALM,0.0,0.0,74.0,87.0,ESE,9.0,0.0
2015,12,1,2,AA,2216,N3GUAA,PHX,MIA,155,149,-6,10,159,242,223,208,1972,727,5,757,732,0,0,0,,,,,,,44.0,53.0,E,6.0,0.0,74.0,91.0,ENE,3.0,0.0
2015,12,1,2,B6,1990,N534JB,SJU,EWR,155,147,-8,10,157,247,228,208,1608,425,10,502,435,0,0,0,,,,,,,77.0,84.0,CALM,0.0,0.0,47.0,93.0,NE,7.0,0.0
2015,12,1,2,NK,972,N636NK,PHX,DFW,158,203,5,11,214,122,112,93,868,447,8,500,455,0,0,0,,,,,,,44.0,53.0,E,6.0,0.0,39.0,89.0,N,6.0,0.0
2015,12,1,2,NK,647,N523NK,IAG,FLL,210,152,-18,7,159,179,164,151,1176,430,6,509,436,0,0,0,,,,,,,41.0,73.0,E,8.0,0.0,74.0,87.0,ESE,9.0,0.0
2015,12,1,2,UA,1162,N39418,BQN,EWR,245,318,33,10,328,240,216,200,1585,548,6,545,554,0,0,0,,,,,,,73.0,88.0,CALM,0.0,0.0,47.0,93.0,NE,7.0,0.0
2015,12,1,2,AS,114,N525AS,ANC,SEA,245,236,-9,14,250,204,205,184,1448,654,7,709,701,0,0,0,,,,,,,24.0,75.0,ENE,5.0,0.0,41.0,73.0,ESE,6.0,0.0
2015,12,1,2,B6,668,N715JB,PSE,MCO,256,307,11,10,317,184,165,152,1179,449,3,500,452,0,0,0,,,,,,,24.0,75.0,ENE,5.0,0.0,67.0,97.0,S,3.0,0.0
2015,12,1,2,B6,730,N583JB,BQN,MCO,309,305,-4,8,313,173,152,142,1129,435,2,502,437,0,0,0,,,,,,,73.0,88.0,ESE,5.0,0.0,67.0,97.0,S,3.0,0.0
2015,12,1,2,B6,2134,N353JB,SJU,MCO,450,447,-3,11,458,182,171,156,1189,634,4,652,638,0,0,0,,,,,,,77.0,84.0,CALM,0.0,0.0,68.0,96.0,CALM,0.0,0.0
2015,12,1,2,B6,2276,N537JB,SJU,BDL,455,459,4,12,511,236,227,209,1666,740,6,751,746,0,0,0,,,,,,,77.0,84.0,CALM,0.0,0.0,32.0,79.0,N,7.0,0.0
2015,12,1,2,HA,102,N476HA,HNL,ITO,500,456,-4,7,503,52,48,36,216,539,5,552,544,0,0,0,,,,,,,76.0,62.0,ENE,12.0,0.0,59.0,48.0,,0.0,0.0
